import_importtariff_&_tax_item,import_rate,import_applicable_country,import_note,hs10digit,conventional_fta_conventional_duty,conventional_rate,conventional_fta_code,conventional_applicable_country,export_exporttariff_&_tax_item,export_rate,export_applicable_rate,export_applicable_country,export_importtariff_&_tax_item,export_note
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101210010,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0101210010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101210010,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0101210010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101210010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101210010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101210010,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0101210010,,,,,,,,,,
,,,,0101210010,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101210010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101210010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0101210010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Chile,,CL,Free Trade Area Nation with China,,,,,,
