4digit,10digit,link, commodity_name
0101,0101210010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101210010,"['Endangered wild horses, pure-bred breeding']"
0101,0101210090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101210090,"['Other horses, pure-bred breeding']"
0101,0101290010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101290010,"['Endangered wild horses, other than pure-bred breeding']"
0101,0101290090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101290090,"['Horses, other than pure-bred breeding']"
0101,0101301010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101301010,"['Endangered wild asses, pure-bred breeding']"
0101,0101301090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101301090,"['Other asses, pure-bred breeding']"
0101,0101309010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101309010,"['Endangered wild asses, other than pure-bred breeding']"
0101,0101309090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101309090,"['Other asses, other than pure-bred breeding']"
0101,0101900000,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0101900000,['Mules and hinnies']
0102,0102210000,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102210000,"['Cattle, pure-bred breeding']"
0102,0102290000,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102290000,"['Cattle, other than pure-bred breeding']"
0102,0102310010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102310010,"['Endangered buffalo, pure-bred breeding']"
0102,0102310090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102310090,"['Other buffalo, pure-bred breeding']"
0102,0102390010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102390010,"['Endangered buffalo, other than pure-bred breeding']"
0102,0102390090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102390090,"['Other buffalo, other than pure-bred breeding']"
0102,0102901010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102901010,"['Endangered wild bovine, pure-bred breeding']"
0102,0102901090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102901090,"['Other bovine, pure-bred breeding, other than cattle and buffalo']"
0102,0102909010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102909010,"['Endangered wild bovine, non pure-bred breeding']"
0102,0102909090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0102909090,"['Other bovine, non pure-bred breeding, other than cattle and buffalo']"
0103,0103100010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0103100010,"['Babyrousa,Porcula Salvania,pure-bred breeding']"
0103,0103100090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0103100090,"['Other live swine, pure-bred breeding']"
0103,0103911010,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0103911010,"['Other wild swine, weighing less than 10kg(other than pure-bred breeding)']"
0103,0103911090,https://www.transcustoms.com//China_HS_Code/China_HS_code.asp?HS_Code=0103911090,"['Other live swine, weighing less than 10kg(other than pure-bred breeding)']"
