,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
0,-1,,Live animals; animal products,True,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0.0,Done,AT,,,,,
1,-2,,Vegetable products,True,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1.0,Done,AT,,,,,
2,-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,True,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2.0,Done,AT,,,,,
3,-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",True,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3.0,Done,AT,,,,,
4,-5,,Mineral products,True,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4.0,Done,AT,,,,,
5,-6,,Products of the chemical or allied industries,True,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5.0,Done,AT,,,,,
6,-7,,Plastics and articles thereof; rubber and articles thereof,True,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6.0,Done,AT,,,,,
7,-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",True,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7.0,Done,AT,,,,,
8,-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",True,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8.0,Done,AT,,,,,
9,-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,True,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9.0,Done,AT,,,,,
10,-11,,Textiles and textile articles,True,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10.0,Done,AT,,,,,
11,-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",True,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11.0,Done,AT,,,,,
12,-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",True,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12.0,Done,AT,,,,,
13,-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",True,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13.0,Done,AT,,,,,
