,id,description,origin,type,measureType,geographicalArea,geographicalSigl,regulationRoleType,regulationId,regulationOrderNumber,startDate,endDate,additionalCodeId,additionalCodeText,exclusions,tariffFormula,hs_info_code,country
0,1,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,01/01/2005,None,None,None,None,0%,0501,AT
1,2,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,0510,AT
2,3,None,ERGA OMNES,Import control - CITES,710,1011,TOUT,4,R2309660,None,20/05/2023,01/01/3000,None,None,None,None,0510,AT
3,4,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,1.60%,0814,AT
4,5,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007530,None,01/08/2020,None,None,None,None,0%,0814,AT
5,6,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,0903,AT
6,7,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,512.00 EUR / 1000 kg,1109,AT
7,8,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007535,None,01/01/2025,None,None,None,None,0%,1109,AT
8,9,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R2416520,None,01/07/2024,01/01/3000,None,None,"Belarus, Russian Federation",None,1203,AT
9,10,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,0%,1506,AT
10,11,None,ERGA OMNES,Import control - CITES,710,1011,TOUT,4,R2309660,None,20/05/2023,01/01/3000,None,None,None,None,1506,AT
11,12,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/01/2005,01/01/3000,None,None,None,0%,1520,AT
12,13,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,0%,1801,AT
13,14,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,0%,1802,AT
14,15,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,7.70%,1804,AT
15,16,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007537,None,01/01/2025,31/12/2025,None,None,None,1.90%,1804,AT
16,17,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,8.00%,1805,AT
17,18,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007537,None,01/01/2025,31/12/2025,None,None,None,2.00%,1805,AT
18,19,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R9922040,None,01/07/2000,01/01/3000,None,None,None,6.40% + 15.10 EUR / 100 kg,1903,AT
19,20,None,Viet Nam,Tariff preference,142,VN,VN,1,D2007535,None,01/01/2025,None,None,None,None,0%,1903,AT
20,21,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R2416520,None,01/07/2024,01/01/3000,None,None,"Belarus, Russian Federation",None,2304,AT
21,22,None,ERGA OMNES,Third country duty,103,1011,TOUT,4,R2416520,None,01/07/2024,01/01/3000,None,None,"Belarus, Russian Federation",None,2305,AT
22,23,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2502,AT
23,24,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2509,AT
24,25,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,01/01/1988,None,None,None,None,0%,2512,AT
25,26,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2514,AT
26,27,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2521,AT
27,28,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2528,AT
28,29,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2602,AT
29,30,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2603,AT
30,31,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2604,AT
31,32,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2605,AT
32,33,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2606,AT
33,34,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2607,AT
34,35,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2608,AT
35,36,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2609,AT
36,37,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2610,AT
37,38,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2611,AT
38,39,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2614,AT
39,40,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2618,AT
40,41,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2703,AT
41,42,None,ERGA OMNES,Third country duty,103,1011,TOUT,1,R8726580,None,15/09/1994,None,None,None,None,0%,2705,AT
