,type,sequenceNumber,description,actionDescription,certificateType,certificateNumber,certificateDescription,conditionExpression,tariffFormula,measure_id
0,Y,1,Other conditions,Import/export allowed after control,C,400,"Presentation of the required ""CITES"" certificate",,,3
1,Y,2,Other conditions,Import/export allowed after control,Y,900,Declared goods do not belong to the Washington Convention (CITES),,,3
2,Y,3,Other conditions,Import/export not allowed after control,,,,,,3
3,B,1,Presentation of a certificate/licence/document,Apply the amount of the action (see components),Y,155,Products exported directly or indirectly from the Russian Federation or Belarus,,50.00%,9
4,B,2,Presentation of a certificate/licence/document,Apply the amount of the action (see components),,,,,0%,9
5,Y,1,Other conditions,Import/export allowed after control,C,400,"Presentation of the required ""CITES"" certificate",,,11
6,Y,2,Other conditions,Import/export allowed after control,Y,900,Declared goods do not belong to the Washington Convention (CITES),,,11
7,Y,3,Other conditions,Import/export not allowed after control,,,,,,11
8,B,1,Presentation of a certificate/licence/document,Apply the amount of the action (see components),Y,155,Products exported directly or indirectly from the Russian Federation or Belarus,,50.00%,21
9,B,2,Presentation of a certificate/licence/document,Apply the amount of the action (see components),,,,,0%,21
10,B,1,Presentation of a certificate/licence/document,Apply the amount of the action (see components),Y,155,Products exported directly or indirectly from the Russian Federation or Belarus,,50.00%,22
11,B,2,Presentation of a certificate/licence/document,Apply the amount of the action (see components),,,,,0%,22
12,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,44
13,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,44
14,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,51
15,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,51
16,C,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,119,"Authorised Release Certificate — EASA Form 1 (Appendix I to Annex I to Regulation (EU) No 748/2012), or equivalent certificate",,,52
17,C,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,52
18,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,61
19,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,61
20,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,64
21,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,64
22,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,67
23,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,67
24,Y,1,Other conditions,Import/export allowed after control,C,400,"Presentation of the required ""CITES"" certificate",,,69
25,Y,2,Other conditions,Import/export allowed after control,Y,900,Declared goods do not belong to the Washington Convention (CITES),,,69
26,Y,3,Other conditions,Import/export not allowed after control,,,,,,69
27,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,71
28,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,71
29,Y,1,Other conditions,Import/export allowed after control,C,400,"Presentation of the required ""CITES"" certificate",,,73
30,Y,2,Other conditions,Import/export allowed after control,Y,900,Declared goods do not belong to the Washington Convention (CITES),,,73
31,Y,3,Other conditions,Import/export not allowed after control,,,,,,73
32,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,77
33,B,2,Presentation of a certificate/licence/document,Measure not applicable,,,,,,77
34,B,1,Presentation of a certificate/licence/document,Apply the mentioned duty,C,990,"End use authorisation ships and platforms (Column 8c, Annex A of Delegated Regulation (EU) 2015/2446)",,,80
