id,code,description,hasChildren,section,index,crawled,country
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,AT
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,AT
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,AT
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,AT
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,AT
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,AT
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,AT
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,AT
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,AT
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,AT
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,AT
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,AT
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,AT
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,AT
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,AT
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,AT
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,AT
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,AT
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,AT
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,AT
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,AT
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,BE
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,BE
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,BE
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,BE
