Section Name,Chapter Number,Chapter Description,Tariff Rate URL
SECTION I,Chapter 1,Live animals.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_01.htm
SECTION I,Chapter 2,Meat and edible meat offal.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_02.htm
SECTION I,Chapter 3,"Fish and crustaceans, molluscs and other aquatic invertebrates.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_03.htm
SECTION I,Chapter 4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_04.htm
SECTION I,Chapter 5,"Products of animal origin, not elsewhere specified or included.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_05.htm
SECTION II,Chapter 6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_06.htm
SECTION II,Chapter 7,Edible vegetables and certain roots and tubers.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_07.htm
SECTION II,Chapter 8,Edible fruit and nuts; peel of citrus fruit or melons.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_08.htm
SECTION II,Chapter 9,"Coffee, tea, mate and spices.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_09.htm
SECTION II,Chapter 10,Cereals.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_10.htm
SECTION II,Chapter 11,Products of the milling industry; malt; starches; inulin; wheat gluten.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_11.htm
SECTION II,Chapter 12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_12.htm
SECTION II,Chapter 13,"Lac; gums, resins and other vegetable saps and extracts.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_13.htm
SECTION II,Chapter 14,Vegetable plaiting materials; vegetable products not elsewhere specified or included.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_14.htm
SECTION III,Chapter 15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_15.htm
SECTION IV,Chapter 16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_16.htm
SECTION IV,Chapter 17,Sugars and sugar confectionery.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_17.htm
SECTION IV,Chapter 18,Cocoa and cocoa preparations.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_18.htm
SECTION IV,Chapter 19,"Preparations of cereals, flour, starch or milk; pastrycooks' products.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_19.htm
SECTION IV,Chapter 20,"Preparations of vegetables, fruit, nuts or other parts of plants.",https://www.customs.go.jp/english/tariff/2024_04_01/data/e_20.htm
SECTION IV,Chapter 21,Miscellaneous edible preparations.,https://www.customs.go.jp/english/tariff/2024_04_01/data/e_21.htm
