stt,area,page,cntyCd,baseYy,reffNoNm,prlstClsfSrno
1,GB,1,GB,2024,XIBTI505064872,19
2,GB,1,GB,2024,XIBTI39269097,2
3,GB,1,GB,2024,XIBTI505063973,14
4,GB,1,GB,2024,XIBTI000000-2024-BTI114,1
5,GB,1,GB,2024,XIBTI505064382,17
6,GB,1,GB,2024,XIBTI505064284,16
7,GB,1,GB,2024,XIBTI505064186,15
8,GB,1,GB,2024,XIBTI505064578,18
9,GB,1,GB,2024,XIBTI505062878,5
10,GB,1,GB,2024,XIBTI505062682,3
11,GB,1,GB,2024,XIBTI505062780,4
12,GB,1,GB,2024,XIBTI505063483,11
13,GB,1,GB,2024,XIBTI505063679,13
14,GB,1,GB,2024,XIBTI505063581,12
15,GB,1,GB,2024,XIBTI505063287,9
16,GB,1,GB,2024,XIBTI505062976,6
17,GB,1,GB,2024,XIBTI505063091,7
18,GB,1,GB,2024,XIBTI505063189,8
19,GB,1,GB,2024,XIBTI505063385,10
149,GB,1,GB,2024,XIBTI505062584,64
150,GB,1,GB,2024,XIBTI505061587,54
151,GB,1,GB,2024,XIBTI505062486,63
152,GB,1,GB,2024,XIBTI505061685,55
153,GB,1,GB,2024,XIBTI505061489,53
154,GB,1,GB,2024,XIBTI505061293,51
155,GB,1,GB,2024,XIBTI505061195,50
156,GB,1,GB,2024,XIBTI505061391,52
157,GB,1,GB,2024,XIBTI505062094,59
158,GB,1,GB,2024,XIBTI505062388,62
159,GB,1,GB,2024,XIBTI505062192,60
160,GB,1,GB,2024,XIBTI505062290,61
161,GB,1,GB,2024,XIBTI505061783,56
162,GB,1,GB,2024,XIBTI505061979,58
163,GB,1,GB,2024,XIBTI505061881,57
338,GB,1,GB,2024,XIBTI505060982,49
409,GB,1,GB,2024,XIBTI505059665,48
510,GB,1,GB,2024,XIBTI505060786,45
520,GB,1,GB,2024,XIBTI505060590,47
521,GB,1,GB,2024,XIBTI505060688,46
556,GB,1,GB,2024,XIBTI505060884,44
611,GB,1,GB,2024,XIBTI505059959,43
642,GB,1,GB,2024,XIBTI505059567,42
697,GB,1,GB,2024,XIBTI505059763,41
730,GB,1,GB,2024,XIBTI505060394,39
732,GB,1,GB,2024,XIBTI505060492,40
742,GB,1,GB,2024,XIBTI505060296,38
928,GB,1,GB,2024,XIBTI505058668,32
929,GB,1,GB,2024,XIBTI505059371,34
932,GB,1,GB,2024,XIBTI505058701,36
935,GB,1,GB,2024,XIBTI505058702,37
936,GB,1,GB,2024,XIBTI505058570,33
937,GB,1,GB,2024,XIBTI505058700,35
963,GB,1,GB,2024,XIBTI505059273,31
974,GB,1,GB,2024,XIBTI505059175,30
976,GB,1,GB,2024,XIBTI505059077,29
982,GB,1,GB,2024,XIBTI505058178,27
989,GB,1,GB,2024,XIBTI505058080,28
990,GB,1,GB,2024,XIBTI505058276,25
993,GB,1,GB,2024,XIBTI505058472,24
996,GB,1,GB,2024,XIBTI505058374,26
1101,GB,2,GB,2024,XIBTI505057377,23
1188,GB,2,GB,2023,XIBTI505057573,21
1194,GB,2,GB,2023,XIBTI505057671,22
1218,GB,2,GB,2023,XIBTI505057279,20
1325,GB,2,GB,2023,XIBTI000000-2023-BTI157,19
1446,GB,2,GB,2023,XIBTI505057475,18
1635,GB,2,GB,2023,XIBTI505051983,16
1639,GB,2,GB,2023,XIBTI505053291,11
1640,GB,2,GB,2023,XIBTI505053193,10
1645,GB,2,GB,2023,XIBTI505053683,13
1650,GB,2,GB,2023,XIBTI505051787,12
1654,GB,2,GB,2023,XIBTI505051885,9
1655,GB,2,GB,2023,XIBTI505052392,14
1660,GB,2,GB,2023,XIBTI505056184,15
1662,GB,2,GB,2023,XIBTI505053781,17
1668,GB,2,GB,2023,XIBTI505052980,7
1670,GB,2,GB,2023,XIBTI505053095,3
1671,GB,2,GB,2023,XIBTI505052784,5
1674,GB,2,GB,2023,XIBTI505052588,6
1676,GB,2,GB,2023,XIBTI505052882,4
1677,GB,2,GB,2023,XIBTI505053585,8
1714,GB,2,GB,2023,XIBTI505053389,2
1779,GB,2,GB,2023,XIBTI505056870,1
4841,EU,1,BE,2024,BEBTIDT.50.016.506,68
4842,EU,1,FR,2024,FRBTIFR-BTI-2024-03490,467
4843,EU,1,FR,2024,FRBTIFR-BTI-2024-04488,932
4844,EU,1,FR,2024,FRBTIFR-BTI-2024-04809,1067
4845,EU,1,FR,2024,FRBTIFR-BTI-2024-01672,98
4846,EU,1,FR,2024,FRBTIFR-BTI-2024-03777,576
4847,EU,1,FR,2024,FRBTIFR-BTI-2024-03985,664
4848,EU,1,FR,2024,FRBTIFR-BTI-2024-05714,1199
4849,EU,1,CZ,2024,CZBTI41/203124/2024-580000-04/01,204
4850,EU,1,ES,2024,ESBTIESBTI2024SOL422,36
4851,EU,1,SK,2024,SKBTI443325/24/193,35
4852,EU,1,SK,2024,SKBTI443531/24/205,42
4853,EU,1,SK,2024,SKBTI443681/24/214,50
4854,EU,1,FR,2024,FRBTIFR-BTI-2024-02875,310
4855,EU,1,SK,2024,SKBTI443592/24/207,44
4856,EU,1,FR,2024,FRBTIFR-BTI-2024-04374,873
4857,EU,1,FR,2024,FRBTIFR-BTI-2024-02624,257
4858,EU,1,AT,2024,ATBTI2024000457-DEC,183
4859,EU,1,FR,2024,FRBTIFR-BTI-2024-04914,1092
4860,EU,1,SK,2024,SKBTI443671/24/213,49
4861,EU,1,AT,2024,ATBTI2024000388-DEC,167
4862,EU,1,ES,2024,ESBTIESBTI2024SOL413,35
4863,EU,1,ES,2024,ESBTIESBTI2024SOL726,183
4864,EU,1,BE,2024,BEBTIDT.50.016.818,75
4865,EU,1,SE,2024,SEBTITV-2024-17982,100
4866,EU,1,ES,2024,ESBTIESBTI2024SOL721,179
4867,EU,1,FR,2024,FRBTIFR-BTI-2024-04072,698
4868,EU,1,FR,2024,FRBTIFR-BTI-2024-05926,1201
4869,EU,1,AT,2024,ATBTI2024000387-DEC,166
4870,EU,1,FR,2024,FRBTIFR-BTI-2024-04344,860
4871,EU,1,FR,2024,FRBTIFR-BTI-2024-05839,1200
4872,EU,1,SK,2024,SKBTI443498/24/203,41
4873,EU,1,ES,2024,ESBTIESBTI2024SOL638,148
4874,EU,1,ES,2024,ESBTIESBTI2024SOL711,172
4875,EU,1,AT,2024,ATBTI2024000324-DEC,105
4876,EU,1,AT,2024,ATBTI2024000487-DEC,191
4877,EU,1,SK,2024,SKBTI446760/24/217,52
4878,EU,1,ES,2024,ESBTIESBTI2024SOL710,171
4879,EU,1,FR,2024,FRBTIFR-BTI-2024-04666,1012
4880,EU,1,ES,2024,ESBTIESBTI2024SOL442,39
4881,EU,1,ES,2024,ESBTIESBTI2024SOL724,182
4882,EU,1,ES,2024,ESBTIESBTI2024SOL411,34
4883,EU,1,SK,2024,SKBTI443624/24/210,46
4884,EU,1,SK,2024,SKBTI443650/24/211,47
4885,EU,1,FR,2024,FRBTIFR-BTI-2024-05026,1119
4886,EU,1,AT,2024,ATBTI2024000386-DEC,165
4887,EU,1,FR,2024,FRBTIFR-BTI-2024-03592,501
4888,EU,1,FR,2024,FRBTIFR-BTI-2024-04497,938
4889,EU,1,ES,2024,ESBTIESBTI2024SOL606,123
4890,EU,1,DK,2024,DKBTI24-1133146,116
4891,EU,1,ES,2024,ESBTIESBTI2024SOL427,38
4892,EU,1,SK,2024,SKBTI443661/24/212,48
4893,EU,1,FR,2024,FRBTIFR-BTI-2024-02627,258
4894,EU,1,FR,2024,FRBTIFR-BTI-2024-04373,872
4895,EU,1,AT,2024,ATBTI2024000385-DEC,164
4896,EU,1,DE,2024,DEBTI38568/24-1,5754
4897,EU,1,DE,2024,DEBTI36503/24-1,5528
4898,EU,1,DE,2024,DEBTI33623/24-1,4963
4899,EU,1,DE,2024,DEBTI40344/24-1,5833
4900,EU,1,DE,2024,DEBTI37309/24-1,5617
4901,EU,1,DE,2024,DEBTI39078/24-1,5780
4902,EU,1,SE,2024,SEBTITV-2024-14452,81
4903,EU,1,AT,2024,ATBTI2024000481-DEC,190
4904,EU,1,DE,2024,DEBTI34809/24-1,5219
4905,EU,1,LT,2024,LTBTI2024-DEC-0029/20,15
4906,EU,1,DE,2024,DEBTI32807/24-1,4777
4907,EU,1,DE,2024,DEBTI10480/24-2,37
4908,EU,1,DE,2024,DEBTI39363/24-1,5793
4909,EU,1,DE,2024,DEBTI37317/24-1,5620
4910,EU,1,DE,2024,DEBTI31290/24-1,4408
4911,EU,1,HR,2024,HRBTIOM-2024-0061,10
4912,EU,1,DE,2024,DEBTI18809/24-1,1201
4913,EU,1,BE,2024,BEBTIDT.50.016.688,72
4914,EU,1,DE,2024,DEBTI19198/24-1,1310
4915,EU,1,CZ,2024,CZBTI50/187120/2024-580000-04/01,387
4916,EU,1,DE,2024,DEBTI23170/24-1,2213
4917,EU,1,LV,2024,LVBTILV009999-2024-BTI56,41
4918,EU,1,LT,2024,LTBTI2024-DEC-0033/20,19
4919,EU,1,DE,2024,DEBTI37298/24-1,5614
4920,EU,1,ES,2024,ESBTIESBTI2024SOL714,175
4921,EU,1,ES,2024,ESBTIESBTI2024SOL732,188
4922,EU,1,ES,2024,ESBTIESBTI2024SOL746,193
4923,EU,1,DE,2024,DEBTI31528/24-1,4460
4924,EU,1,DE,2024,DEBTI27900/24-1,3590
4925,EU,1,FR,2024,FRBTIFR-BTI-2024-04926,1095
4926,EU,1,DE,2024,DEBTI34853/24-1,5224
4927,EU,1,DE,2024,DEBTI25790/24-1,2935
4928,EU,1,CZ,2024,CZBTI32/199059/2024-580000-04/01,104
4929,EU,1,DE,2024,DEBTI31621/24-1,4518
4930,EU,1,ES,2024,ESBTIESBTI2024SOL737,191
4931,EU,1,ES,2024,ESBTIESBTI2024SOL742,192
4932,EU,1,CZ,2024,CZBTI32/199057/2024-580000-04/01,103
4933,EU,1,ES,2024,ESBTIESBTI2024SOL731,187
